route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,wheelchair_accessible
415,0000000022025061320250909,0004309562025061320250909,Belvedere,0,D729_T1401_Andata_PRINCIPALE_sub1,1
396,0000000022025061320250909,0004309792025061320250909,Conci "Villazzano 3",0,D560_T0351a_Andata_sub1,1
402,0000000022025061320250909,0004309832025061320250909,Gocciadoro "Arcate",0,D639_T0705a_Andata_sub1,1
402,0000000022025061320250909,0004309852025061320250909,Gocciadoro "Arcate",0,D639_T0705a_Andata_sub1,1
402,0000000022025061320250909,0004309882025061320250909,Gocciadoro "Arcate",0,D639_T0705a_Andata_sub1,1
402,0000000022025061320250909,0004309932025061320250909,Gocciadoro "Arcate",0,D639_T0705a_Andata_sub1,1
402,0000000022025061320250909,0004309962025061320250909,Gocciadoro "Arcate",0,D639_T0705a_Andata_sub1,1
402,0000000022025061320250909,0004309992025061320250909,Gocciadoro "Arcate",0,D639_T0705a_Andata_sub1,1
402,0000000022025061320250909,0004310022025061320250909,Gocciadoro "Arcate",0,D639_T0705a_Andata_sub1,1
402,0000000022025061320250909,0004310052025061320250909,Piazza Dante "Dogana",0,D656_T0731_Andata_sub2,1
402,0000000022025061320250909,0004310062025061320250909,Gocciadoro "Arcate",0,D639_T0705a_Andata_sub1,1
402,0000000022025061320250909,0004310092025061320250909,Gocciadoro "Arcate",0,D639_T0705a_Andata_sub1,1
402,0000000022025061320250909,0004310122025061320250909,Gocciadoro "Arcate",0,D639_T0705a_Andata_sub1,1
402,0000000022025061320250909,0004310132025061320250909,Gocciadoro "Arcate",0,D639_T0705a_Andata_sub1,1
396,0000001642025061320250909,0004310162025061320250909,Gardolo S.Anna Carpenedi,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
402,0000000022025061320250909,0004310252025061320250909,Piazza Dante "Dogana",0,D656_T0731_Andata_sub2,1
614,0000000022025061320250909,0004310302025061320250909,Piazza Dante "Stazione Fs",0,D769_T3031a_Circolare_(giro_corto)_sub1,1
614,0000000022025061320250909,0004310312025061320250909,Piazza Dante "Stazione Fs",0,D769_T3031a_Circolare_(giro_corto)_sub1,1
396,0000000022025061320250909,0004310322025061320250909,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000092025061320250909,0004310332025061320250909,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000000022025061320250909,0004310342025061320250909,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000000022025061320250909,0004310382025061320250909,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000000022025061320250909,0004310402025061320250909,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000000022025061320250909,0004310422025061320250909,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000000022025061320250909,0004310502025061320250909,Cortesano,1,D539_T0318_Ritorno_(Meano_2)_PRINCIPALE_sub2,1
396,0000000022025061320250909,0004310612025061320250909,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000022025061320250909,0004310652025061320250909,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000022025061320250909,0004310662025061320250909,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000022025061320250909,0004310672025061320250909,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000022025061320250909,0004310712025061320250909,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000022025061320250909,0004310762025061320250909,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000022025061320250909,0004310772025061320250909,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000022025061320250909,0004310782025061320250909,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000022025061320250909,0004310792025061320250909,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000022025061320250909,0004310802025061320250909,Cortesano,1,D565_T0360_Ritorno_sub2,1
396,0000000022025061320250909,0004310872025061320250909,Cortesano,1,D565_T0360_Ritorno_sub2,1
614,0000000022025061320250909,0004311452025061320250909,Piazza Dante "Stazione Fs",0,D769_T3031a_Circolare_(giro_corto)_sub1,1
623,0000000022025061320250909,0004311462025061320250909,Piazza Dante "Dogana",0,D776_T3210d_Circolare_sub2,1
396,0000000022025061320250909,0004311482025061320250909,Cortesano,1,D540_T0320_Ritorno_sub2,1
400,0000000022025061320250909,0004311562025061320250909,Oltrecastello,0,D593_T0501b_Andata_PRINCIPALE_sub2,1
