service_id,date,exception_type
0000000532025033120250612,20250612,2
0000000532025061320250909,20250626,2
0000000532025061320250909,20250815,2
0000000552025061320250909,20250626,2
0000000552025061320250909,20250801,2
0000000552025061320250909,20250804,2
0000000552025061320250909,20250805,2
0000000552025061320250909,20250806,2
0000000552025061320250909,20250807,2
0000000552025061320250909,20250808,2
0000000552025061320250909,20250811,2
0000000552025061320250909,20250812,2
0000000552025061320250909,20250813,2
0000000552025061320250909,20250814,2
0000000552025061320250909,20250815,2
0000000552025061320250909,20250818,2
0000000552025061320250909,20250819,2
0000000552025061320250909,20250820,2
0000000552025061320250909,20250821,2
0000000552025061320250909,20250822,2
0000000592024090920250612,20250602,2
0000000592024100720250612,20250602,2
0000000592025061320250909,20250805,2
0000000592025061320250909,20250815,2
0000000602024090920250612,20250527,1
0000000602024090920250612,20250528,1
0000000602024090920250612,20250529,1
0000000602024090920250612,20250530,1
0000000602024090920250612,20250531,1
0000000602024090920250612,20250602,2
0000000602024090920250612,20250603,1
0000000602024090920250612,20250604,1
0000000602024090920250612,20250605,1
0000000602024090920250612,20250606,1
0000000602024090920250612,20250607,1
0000000602024090920250612,20250609,1
0000000602024090920250612,20250610,1
0000000602024090920250612,20250611,1
0000000602024090920250612,20250612,1
0000000622024090920250612,20250602,1
0000000622025061320250909,20250805,1
0000000622025061320250909,20250815,1
0000000662024090920250612,20250602,2
0000000662025061320250909,20250805,2
0000000662025061320250909,20250815,2
0000000672024090920250612,20250602,2
0000000672024091020250612,20250602,2
0000000672024091620250612,20250602,2
0000000672024100720250612,20250602,2
0000000672024100920250612,20250602,2
0000000672024101620250612,20250602,2
0000000682024090920250612,20250602,2
0000000692024090920250612,20250602,2
0000000772024090920250612,20250602,2
0000000772024101620250612,20250602,2
0000000822025061320250909,20250805,2
0000000822025061320250909,20250815,2
0000001092024090920250612,20250527,2
0000001092024090920250612,20250528,2
0000001092024090920250612,20250529,2
0000001092024090920250612,20250530,2
0000001092024090920250612,20250531,2
0000001092024090920250612,20250602,2
0000001092024090920250612,20250603,2
0000001092024090920250612,20250604,2
0000001092024090920250612,20250605,2
0000001092024090920250612,20250606,2
0000001092024090920250612,20250607,2
0000001092024090920250612,20250609,2
0000001092024090920250612,20250610,2
0000001092024090920250612,20250611,2
0000001092024090920250612,20250612,2
0000001432024090920250612,20250527,2
0000001432024090920250612,20250528,2
0000001432024090920250612,20250529,2
0000001432024090920250612,20250530,2
0000001432024090920250612,20250531,2
0000001432024090920250612,20250602,2
0000001432024090920250612,20250603,2
0000001432024090920250612,20250604,2
0000001432024090920250612,20250605,2
0000001432024090920250612,20250606,2
0000001432024090920250612,20250607,2
0000001432024090920250612,20250609,2
0000001432024090920250612,20250610,2
0000001432024090920250612,20250611,2
0000001432024090920250612,20250612,2
0000001432024091620250612,20250527,2
0000001432024091620250612,20250528,2
0000001432024091620250612,20250529,2
0000001432024091620250612,20250530,2
0000001432024091620250612,20250531,2
0000001432024091620250612,20250602,2
0000001432024091620250612,20250603,2
0000001432024091620250612,20250604,2
0000001432024091620250612,20250605,2
0000001432024091620250612,20250606,2
0000001432024091620250612,20250607,2
0000001432024091620250612,20250609,2
0000001432024091620250612,20250610,2
0000001432024091620250612,20250611,2
0000001432024091620250612,20250612,2
0000001442024090920250612,20250602,2
0000001442025061320250909,20250815,2
0000001442025061320250909,20250908,2
0000001452024090920250612,20250602,2
0000001462024090920250612,20250602,2
0000001462024091620250612,20250602,2
0000001462025061320250909,20250815,2
0000001462025061320250909,20250908,2
0000001472024090920250612,20250527,1
0000001472024090920250612,20250528,1
0000001472024090920250612,20250529,1
0000001472024090920250612,20250530,1
0000001472024090920250612,20250531,1
0000001472024090920250612,20250602,2
0000001472024090920250612,20250603,1
0000001472024090920250612,20250604,1
0000001472024090920250612,20250605,1
0000001472024090920250612,20250606,1
0000001472024090920250612,20250607,1
0000001472024090920250612,20250609,1
0000001472024090920250612,20250610,1
0000001472024090920250612,20250611,1
0000001472024090920250612,20250612,1
0000001472024091620250612,20250527,1
0000001472024091620250612,20250528,1
0000001472024091620250612,20250529,1
0000001472024091620250612,20250530,1
0000001472024091620250612,20250531,1
0000001472024091620250612,20250602,2
0000001472024091620250612,20250603,1
0000001472024091620250612,20250604,1
0000001472024091620250612,20250605,1
0000001472024091620250612,20250606,1
0000001472024091620250612,20250607,1
0000001472024091620250612,20250609,1
0000001472024091620250612,20250610,1
0000001472024091620250612,20250611,1
0000001472024091620250612,20250612,1
0000001482024090920250612,20250602,2
0000001552024090920250612,20250602,2
0000001562024090920250612,20250602,2
0000001572024090920250612,20250602,2
0000001642024090920250612,20250602,2
0000001642025030620250612,20250602,2
0000001642025033120250612,20250602,2
0000001642025061320250909,20250613,1
0000001642025061320250909,20250614,1
0000001642025061320250909,20250616,1
0000001642025061320250909,20250617,1
0000001642025061320250909,20250618,1
0000001642025061320250909,20250619,1
0000001642025061320250909,20250620,1
0000001642025061320250909,20250621,1
0000001642025061320250909,20250623,1
0000001642025061320250909,20250624,1
0000001642025061320250909,20250625,1
0000001642025061320250909,20250626,2
0000001642025061320250909,20250627,1
0000001642025061320250909,20250628,1
0000001642025061320250909,20250630,1
0000001642025061320250909,20250701,1
0000001642025061320250909,20250702,1
0000001642025061320250909,20250703,1
0000001642025061320250909,20250704,1
0000001642025061320250909,20250705,1
0000001642025061320250909,20250707,1
0000001642025061320250909,20250708,1
0000001642025061320250909,20250709,1
0000001642025061320250909,20250710,1
0000001642025061320250909,20250711,1
0000001642025061320250909,20250712,1
0000001642025061320250909,20250714,1
0000001642025061320250909,20250715,1
0000001642025061320250909,20250716,1
0000001642025061320250909,20250717,1
0000001642025061320250909,20250718,1
0000001642025061320250909,20250719,1
0000001642025061320250909,20250721,1
0000001642025061320250909,20250722,1
0000001642025061320250909,20250723,1
0000001642025061320250909,20250724,1
0000001642025061320250909,20250725,1
0000001642025061320250909,20250726,1
0000001642025061320250909,20250728,1
0000001642025061320250909,20250729,1
0000001642025061320250909,20250730,1
0000001642025061320250909,20250731,1
0000001642025061320250909,20250801,1
0000001642025061320250909,20250802,1
0000001642025061320250909,20250804,1
0000001642025061320250909,20250805,1
0000001642025061320250909,20250806,1
0000001642025061320250909,20250807,1
0000001642025061320250909,20250808,1
0000001642025061320250909,20250809,1
0000001642025061320250909,20250811,1
0000001642025061320250909,20250812,1
0000001642025061320250909,20250813,1
0000001642025061320250909,20250814,1
0000001642025061320250909,20250815,2
0000001642025061320250909,20250816,1
0000001642025061320250909,20250818,1
0000001642025061320250909,20250819,1
0000001642025061320250909,20250820,1
0000001642025061320250909,20250821,1
0000001642025061320250909,20250822,1
0000001642025061320250909,20250823,1
0000001642025061320250909,20250825,1
0000001642025061320250909,20250826,1
0000001642025061320250909,20250827,1
0000001642025061320250909,20250828,1
0000001642025061320250909,20250829,1
0000001642025061320250909,20250830,1
0000001642025061320250909,20250901,1
0000001642025061320250909,20250902,1
0000001642025061320250909,20250903,1
0000001642025061320250909,20250904,1
0000001642025061320250909,20250905,1
0000001642025061320250909,20250906,1
0000001642025061320250909,20250908,1
0000001642025061320250909,20250909,1
0000001712024090920250612,20250602,2
0000001722024090920250612,20250602,2
0000001752025061320250909,20250626,2
0000001752025061320250909,20250804,2
0000001752025061320250909,20250805,2
0000001752025061320250909,20250806,2
0000001752025061320250909,20250807,2
0000001752025061320250909,20250808,2
0000001752025061320250909,20250811,2
0000001752025061320250909,20250812,2
0000001752025061320250909,20250813,2
0000001752025061320250909,20250814,2
0000001752025061320250909,20250815,2
0000001752025061320250909,20250818,2
0000001752025061320250909,20250819,2
0000001752025061320250909,20250820,2
0000001752025061320250909,20250821,2
0000001752025061320250909,20250822,2
0000001752025061320250909,20250825,2
0000001752025061320250909,20250826,2
0000001752025061320250909,20250827,2
0000001752025061320250909,20250828,2
0000001752025061320250909,20250829,2
